Marka;Historia marki;Tagi;Czy wyœwietlaæ
Kahlúa;0;Likier, Meksyk;1
Ki No Bi;"""Ki No Bi"" oznacza ""piêkno pór roku"" i jest odniesieniem do sk³adników, które zosta³y u¿yte do skomponowania tego trunku

";Gin, Japonia, Kyoto dry;1
Lillet;0;Aperitiv, Francja;1
Luxardo;0;Likier, W³ochy;1
Malfy;Malfy destylowany jest w Totino Distilati le¿¹cej u podnó¿a najwy¿szego szczytu Piemontu, Monte Viso. Destylarnia pracuje od 1906r. I obecnie nale¿y do rodziny Vergnano. Wszystkie produkty firmy zosta³y oznakowane symbolem GQDI (Gin di Qualit? Distillato), który jest w³oskim symbolem jakoœci oraz autentycznoœci.;Gin, W³ochy;1
Maker's Mark;0;Bourbon;1
Martell;0;Cognac;1
Martini;0;Aperitivo/Wermut, W³ochy;1
Metaxa;"Co oznaczaj¹ gwiazdki na Metaxie?
Za tajemniczymi gwiazdkami, które mo¿na znaleŸæ na etykiecie, kryje siê wewnêtrzna segmentacja i stopniowanie produktu, zatem nie nale¿y dos³ownie przypisywaæ wieku destylatów do iloœci gwiazdek. Jednak¿e im wiêksza liczba gwiazdek na butelce, tym mamy do czynienia z d³u¿ej le¿akowanym produktem. Jest to wprowadzone z powodu tego, ¿e nie wszystkie produkty Metaxy s¹ oznaczone gwiazdkami! Najbardziej szlachetne i najstarsze destylaty trafiaj¹ do takich wariantów jak Grande Fine w piêknej, porcelanowej butelce czy Private Reserve produkowana tylko raz w roku w bardzo ma³ych partiach. Wyró¿niæ warto równie¿ Metaxê Angel`s Treasure z d³ugo dojrzewaj¹cych destylatów czy dwie wersje o nazwie AEN, które powsta³y, by uczciæ 120. i 130. rocznicê powstania firmy.";Spirit drink, Grecja;1
Midori;0;Likier, Japonia;1
Monkey Shoulder;0;Whisky, Szkocja, Blended malt;1
Monkey 47;0;Gin, Niemcy;1
Olmeca;0;Tequila;1
Orange Colombo;0;Aperitivo, Francja;1
Ostoya;0;Wódka, Polska, Pszenica;1
Oxley;0;Gin, Anglia, London dry;1
Patron;0;Tequila;1
Passoa;0;Likier, Francja;1
Pepperciocco;0;Likier, W³ochy;1
Pyrat XO Reserve;0;Rum/Spirit drink, Karaiby;1
Ricard Pastis;0;Aperitivo, Francja;1
Sambuca;0;Likier, W³ochy;1
Santa Teresa 1796;0;Rum, Karaiby;1
Scapa;0;Whisky, Szkocja, Single malt, Highland;1
Small Batch Bourbon Collection;0;Jim Beam;1
St. Germain;0;Likier, Francja;1
Strega;0;Likier, W³ochy;1
Talisker;0;Whisky, Szkocja, Single malt, Isle of Skye;1
Tanqueray;0;Gin, Szkocja;1
Wyborowa;0;Wódka, Polska, ¯yto;1
Zucca Rabarbaro;0;Likier, W³ochy;1
